ID,Query,Category,Entities,Seen,Notes
253,macbook pro 14 m3 pro,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Pro""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
254,macbook pro m3,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""]}",false,
255,macbook pro m3 pro,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Pro""],""modellreihe"":[""MacBook Pro""]}",false,
256,macbook pro m3 max,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Max""],""modellreihe"":[""MacBook Pro""]}",false,
257,macbook pro m3 pro 16 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Pro""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
258,macbook pro m3 pro 14 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Pro""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
259,macbook pro m3 max 16 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Max""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
260,macbook pro m3 14 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
261,macbook pro m3 16 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
262,macbook pro m3 max 14 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Max""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
263,macbook pro m3 14,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
264,macbook pro m3 pro 18 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M3 Pro""],""modellreihe"":[""MacBook Pro""]}",false,
265,macbook pro m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""]}",false,
266,macbook pro m2 pro,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2 Pro""],""modellreihe"":[""MacBook Pro""]}",false,
267,macbook pro m2 max,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2 Max""],""modellreihe"":[""MacBook Pro""]}",false,
268,macbook pro m2 14 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
269,macbook pro m2 16 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
270,macbook pro m2 pro 14,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2 Pro""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""14 Zoll""]}",false,
271,macbook pro m2 pro 16 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2 Pro""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""16 Zoll""]}",false,
272,macbook pro m2 2022,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""]}",false,
273,macbook pro m2 13 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""13 Zoll""]}",false,
274,macbook pro m2 14 zoll hülle,Other,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""]}",false,
275,macbook pro m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Pro""],""bildschirmgroesse"":[""15 Zoll""]}",false,
276,macbook air m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""]}",false,
277,macbook air m2 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""512 GB""]}",false,
278,macbook air m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
279,macbook air m2 16 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""]}",false,
280,macbook air m2 13 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""13 Zoll""]}",false,
281,macbook air m2 hülle,Other,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""]}",false,
282,macbook air m2 256 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""256 GB""]}",false,
283,macbook air m2 tasche,Other,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""]}",false,
284,macbook air m2 512 gb 16 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""512 GB""]}",false,
285,"macbook air m2 hülle 13,6 zoll",Other,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""13 Zoll""]}",false,
286,macbook air m2 2022,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""]}",false,
287,macbook air m2 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""512 GB""]}",false,
288,macbook air m2 512 gb 16 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""speicherkapazitaet"":[""512 GB""]}",false,
289,macbook air m2 512 gb 16 gb 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""512 GB""]}",false,
290,macbook air m2 512 gb 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""512 GB""]}",false,
291,macbook air m2 512 gb 16 gb 15 zoll silber,Laptops,"{""farbe"":[""silberfarben""],""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""512 GB""]}",false,
292,macbook air m2 512 gb 16 ram,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""speicherkapazitaet"":[""512 GB""]}",false,
293,macbook air m2 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""512 GB""]}",false,
294,macbook air m2 16 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""]}",false,
295,macbook air m2 256 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""256 GB""]}",false,
296,macbook air m1 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M1""],""modellreihe"":[""MacBook Air""],""speicherkapazitaet"":[""512 GB""]}",false,
297,macbook air m1 16 gb 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M1""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""speicherkapazitaet"":[""512 GB""]}",false,
298,macbook air m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
299,macbook air m2 15 zoll 16 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""arbeitsspeicher"":[""16 GB""],""bildschirmgroesse"":[""15 Zoll""]}",false,
300,macbook air m2 15 zoll 512 gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""512 GB""]}",false,
301,macbook air m2 15 zoll m2,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
302,"macbook air m2 15 zoll ",Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
303,macbook air m2 15 zoll 256gb,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""],""speicherkapazitaet"":[""256 GB""]}",false,
304,macbook air 15 zoll,Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
305,macbook air m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
306,macbook air m2 13 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""13 Zoll""]}",false,
307,mac book air 15 zoll m2,Laptops,"{""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
308,apple macbook air m2 15 zoll,Laptops,"{""marke"":[""Apple""],""prozessor"":[""M2""],""modellreihe"":[""MacBook Air""],""bildschirmgroesse"":[""15 Zoll""]}",false,
309,Notebook,Laptops,{},false,
310,notebook 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
311,notebook 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
312,notebook 14 zoll,Laptops,"{""bildschirmgroesse"":[""14 Zoll""]}",false,
313,notebook 13 zoll,Laptops,"{""bildschirmgroesse"":[""13 Zoll""]}",false,
314,notebook mit dvd laufwerk integriert,Laptops,{},false,Ungrounded: DVD Laufwerk
315,notebook gaming,Laptops,"{""zubehoerfuer"":[""Gaming""]}",false,
316,notebook apple,Laptops,"{""marke"":[""Apple""]}",false,
317,notebook hp,Laptops,"{""marke"":[""HP""]}",false,
318,notebook samsung,Laptops,"{""marke"":[""Samsung""]}",false,
319,notebook tasche,Other,{},false,
320,notebook 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
321,notebook 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
322,notebook 17 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
323,notebook 17 zoll acer,Laptops,"{""marke"":[""Acer""],""bildschirmgroesse"":[""17 Zoll""]}",false,
324,notebook 17 zoll microsoft office,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
325,notebook 17 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""17 Zoll""]}",false,
326,notebook 17 zoll tastatur beleuchtet,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,Ungrounded:  tastatur beleuchtet
327,notebook 17 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""17 Zoll""]}",false,
328,notebook 17 zoll acer 1000gb,Laptops,"{""marke"":[""Acer""],""bildschirmgroesse"":[""17 Zoll""],""speicherkapazitaet"":[""1 TB""]}",false,
329,notebook 17 zoll gaming,Laptops,"{""zubehoerfuer"":[""Gaming""],""bildschirmgroesse"":[""17 Zoll""]}",false,
330,notebook 17 zoll rtx 4070,Laptops,"{""grafikkarte"":[""GeForce RTX 4070""],""bildschirmgroesse"":[""17 Zoll""]}",false,
331,notebook 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
332,notebook 17 zoll windows 11 vorinstalliert,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
333,notebook 17 zoll windows 11 i5,Laptops,"{""prozessor"":[""Intel Core i5""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
334,notebook 17 zoll windows 11 vorinstalliert office 2021,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
335,laptop 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
336,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
337,notebook 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
338,hp notebook 17 zoll,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""17 Zoll""]}",false,
339,notebook 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
340,notebook 11 zoll,Laptops,"{""bildschirmgroesse"":[""kleiner als 12 Zoll""]}",false,
341,notebook 14 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""14 Zoll""]}",false,
342,notebook 17 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
343,notebook 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
344,laptop 17 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
345,notebook 17 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
346,laptop 15 zoll mit laufwerk,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
347,"notebook tasche 17,3 zoll",Other,{},false,
348,notebooktasche 17 zoll,Other,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
349,notebook mit laufwerk integriert,Laptops,{},false,
350,notebook 17 zoll tastatur beleuchtet,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
351,notebook tasche 17 zoll,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
352,laptop tasche 17 zoll frau,Laptops,"{""bildschirmgroesse"":[""17 Zoll""]}",false,
353,notebook 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
354,notebook 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
355,notebook 15 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
356,notebook 15 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""15 Zoll""]}",false,
357,notebook 15 zoll samsung,Laptops,"{""marke"":[""Samsung""],""bildschirmgroesse"":[""15 Zoll""]}",false,
358,notebook 15 zoll touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""bildschirmgroesse"":[""15 Zoll""]}",false,
359,notebook 15 zoll dell,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
360,notebook 15 zoll betriebssystem microsoft,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
361,notebook 15 zoll windows 11 i5,Laptops,"{""prozessor"":[""Intel Core i5""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
362,notebook 15 zoll touch,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
363,notebook 15 zoll i7,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
364,notebook 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
365,notebook 15 zoll windows 11 i5,Laptops,"{""prozessor"":[""Intel Core i5""],""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
366,notebook 15 zoll windows 11 pro und office,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
367,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
368,laptop 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
369,laptop 15 zoll angebote windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
370,notebook 17 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""17 Zoll""]}",false,
371,notebook 15 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""15 Zoll""]}",false,
372,laptop 14 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""14 Zoll""]}",false,
373,laptop 13 zoll windows 11,Laptops,"{""betriebssystem"":[""Windows""],""bildschirmgroesse"":[""13 Zoll""]}",false,
374,laptop 11 zoll,Laptops,"{""bildschirmgroesse"":[""kleiner als 12 Zoll""]}",false,
375,notebook 15 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
376,laptop 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
377,"lenovo notebook 15,6 zoll",Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
378,lenovo 14 zoll,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""14 Zoll""]}",false,
379,laptop 15 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
380,gaming notebook 15 zoll,Laptops,"{""zubehoerfuer"":[""Gaming""],""bildschirmgroesse"":[""15 Zoll""]}",false,
381,notebook 15 zoll lenovo,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
382,lenovo notebook 17 zoll,Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""17 Zoll""]}",false,
383,"lenovo 15,6 zoll",Laptops,"{""marke"":[""Lenovo""],""bildschirmgroesse"":[""15 Zoll""]}",false,
384,notebook 15 zoll hp,Laptops,"{""marke"":[""HP""],""bildschirmgroesse"":[""15 Zoll""]}",false,
385,notebooks 15 zoll,Laptops,"{""bildschirmgroesse"":[""15 Zoll""]}",false,
386,Chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
387,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
388,chromebook plus,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
389,chromebook 14 zoll,Laptops,"{""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""14 Zoll""]}",false,
390,chromebook 17 zoll,Laptops,"{""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""17 Zoll""]}",false,
391,chromebook hp,Laptops,"{""marke"":[""HP""],""modellreihe"":[""Chromebook""]}",false,
392,chromebook flip touchscreen,Laptops,"{""ausstattung"":[""2 in 1 Convertible""],""modellreihe"":[""Chromebook""]}",false,
393,chromebook lenovo,Laptops,"{""marke"":[""Lenovo""],""modellreihe"":[""Chromebook""]}",false,
394,chromebook flip,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
395,chromebook 15 zoll,Laptops,"{""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""15 Zoll""]}",false,
396,chromebook tasche,Other,"{""modellreihe"":[""Chromebook""]}",false,
397,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
398,chromebook touchscreen 8gb,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""],""arbeitsspeicher"":[""8 GB""]}",false,
399,chromebook touchscreen acer spin 311,Laptops,"{""marke"":[""Acer""],""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
400,chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
401,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
402,touchscreen laptop,Laptops,"{""ausstattung"":[""Touch Display""]}",false,
403,notebook mit touchscreen,Laptops,"{""ausstattung"":[""Touch Display""]}",false,
404,chromebook flip touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
405,"hp chromebook x360, 14 touchscreen",Laptops,"{""marke"":[""HP""],""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""14 Zoll""]}",false,
406,google chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
407,notebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""]}",false,
408,chromebook touchscreen 8gb,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""],""arbeitsspeicher"":[""8 GB""]}",false,
409,chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
410,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
411,asus chromebook,Laptops,"{""marke"":[""Asus""],""modellreihe"":[""Chromebook""]}",false,
412,lenovo chromebook,Laptops,"{""marke"":[""Lenovo""],""modellreihe"":[""Chromebook""]}",false,
413,hp chromebook,Laptops,"{""marke"":[""HP""],""modellreihe"":[""Chromebook""]}",false,
414,chromebook flip touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
415,"hp chromebook x360, 14 touchscreen",Laptops,"{""marke"":[""HP""],""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""14 Zoll""]}",false,
416,laptop chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
417,samsung chromebook,Laptops,"{""marke"":[""Samsung""],""modellreihe"":[""Chromebook""]}",false,
418,chromebook 256 gb,Laptops,"{""modellreihe"":[""Chromebook""],""speicherkapazitaet"":[""256 GB""]}",false,
419,chromebook touchscreen acer spin 311,Laptops,"{""marke"":[""Acer""],""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
420,chromebook touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
421,acer chromebook,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
422,acer chromebook spin 311,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
423,chromebook flip touchscreen,Laptops,"{""ausstattung"":[""Touch Display""],""modellreihe"":[""Chromebook""]}",false,
424,acer chromebook 314,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
425,acer chromebook spin 513,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
426,acer spin,Laptops,"{""marke"":[""Acer""]}",false,
427,acer spin 3,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Spin 3""]}",false,
428,acer laptop touch screen,Laptops,"{""marke"":[""Acer""],""ausstattung"":[""Touch Display""]}",false,
429,laptop touchscreen notebook spin,Laptops,"{""ausstattung"":[""Touch Display""]}",false,
430,chromebook plus,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
431,chromebook plus mit lte,Laptops,"{""ausstattung"":[""mobiles Internet""],""modellreihe"":[""Chromebook""]}",false,
432,chromebook plus intel core,Laptops,"{""prozessor"":[""Intel""],""modellreihe"":[""Chromebook""]}",false,
433,chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
434,acer chromebook,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
435,asus chromebook,Laptops,"{""marke"":[""Asus""],""modellreihe"":[""Chromebook""]}",false,
436,chromebook plus,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
437,lenovo chromebook,Laptops,"{""marke"":[""Lenovo""],""modellreihe"":[""Chromebook""]}",false,
438,hp chromebook,Laptops,"{""marke"":[""HP""],""modellreihe"":[""Chromebook""]}",false,
439,google chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
440,laptop chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
441,chromebook plus mit lte,Laptops,"{""ausstattung"":[""mobiles Internet""],""modellreihe"":[""Chromebook""]}",false,
442,chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
443,tablet lte,Tablets,"{""ausstattung"":[""mobiles Internet""]}",false,
444,chromebook plus,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
445,tablet lte mit sim,Tablets,"{""ausstattung"":[""mobiles Internet""]}",false,
446,tablet mit lte,Tablets,"{""ausstattung"":[""mobiles Internet""]}",false,
447,google chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
448,laptop chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
449,samsung chromebook,Laptops,"{""marke"":[""Samsung""],""modellreihe"":[""Chromebook""]}",false,
450,laptop lte,Laptops,"{""ausstattung"":[""mobiles Internet""]}",false,
451,samsung tablet mit lte,Tablets,"{""marke"":[""Samsung""],""ausstattung"":[""mobiles Internet""]}",false,
452,chromebook plus intel core,Laptops,"{""prozessor"":[""Intel""],""modellreihe"":[""Chromebook""]}",false,
453,chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
454,acer chromebook,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
455,chromebook plus,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
456,hp chromebook,Laptops,"{""marke"":[""HP""],""modellreihe"":[""Chromebook""]}",false,
457,laptop chromebook,Laptops,"{""modellreihe"":[""Chromebook""]}",false,
458,acer chromebook 317,Laptops,"{""marke"":[""Acer""],""modellreihe"":[""Chromebook""]}",false,
459,intel core,Laptops,"{""prozessor"":[""Intel""]}",false,
460,asus chromebook plus,Laptops,"{""marke"":[""Asus""],""modellreihe"":[""Chromebook""]}",false,
461,"chromebook 11,6 zoll",Laptops,"{""modellreihe"":[""Chromebook""],""bildschirmgroesse"":[""kleiner als 12 Zoll""]}",false,
462,laptop intel core,Laptops,"{""prozessor"":[""Intel""]}",false,
463,Iphone,Mobiltelefone,"{""marke"":[""Apple""]}",false,
464,iphone 15 pro max,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 15 Pro""]}",false,
465,iphone 15 pro,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 15 Pro""]}",false,
466,iphone 15,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 15""]}",false,
467,iphone 14 pro max,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 14""]}",false,
468,iphone 13,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 13""]}",false,
469,iphone 14,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 14""]}",false,
470,iphone 14 pro,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 14""]}",false,
471,iphone 12,Mobiltelefone,"{""marke"":[""Apple""],""modellreihe"":[""iPhone 12""]}",false,
